linear,angular,rpm_1,rpm_2,rpm_3,rpm_4,timestamp
0,0,0,0,0,0,1706938109.37
0,0,0,0,0,0,1706938109.97
0,0,0,0,0,0,1706938135.52
0,0,0,0,0,0,1706938135.53
0,0,0,0,0,0,1706938135.53
0,0,0,0,0,0,1706938135.56
0,0,0,0,0,0,1706938135.57
0,0,0,0,0,0,1706938135.57
0,0,0,0,0,0,1706938135.57
0,0,0,0,0,0,1706938135.58
0,0,0,0,0,0,1706938135.74
0,0,0,0,0,0,1706938135.78
0,0,0,0,0,0,1706938135.92
0.34,0,0,0,0,0,1706938135.99
0.7,0,0,0,0,0,1706938136.11
0.7,0,0,0,0,0,1706938136.2
0.7,0,0,0,0,0,1706938136.35
0.7,0,24,24,24,24,1706938136.41
0,0,50,50,50,50,1706938136.52
0,0,50,50,50,50,1706938136.6
0,0,50,50,50,50,1706938136.7
0,0,59,58,58,58,1706938136.81
0,0,59,58,58,58,1706938136.91
0,0,59,58,58,58,1706938137.01
0,0,59,58,58,58,1706938137.09
0,0,59,58,58,58,1706938137.17
0.7,0,9,9,9,8,1706938137.32
0.7,0,4,4,4,4,1706938137.42
0.51,0,4,4,4,4,1706938137.57
0,0,4,4,4,4,1706938137.63
0,0,4,4,4,4,1706938137.73
0,0,4,4,4,4,1706938137.83
0,0,4,4,4,4,1706938137.95
0,0,34,33,33,32,1706938138.04
0,0,14,14,14,14,1706938138.17
0,0,14,14,14,14,1706938138.2
0,0,14,14,14,14,1706938138.38
0,0.7,14,14,14,14,1706938138.43
0,0.7,0,0,0,0,1706938138.54
0,0.7,0,0,0,0,1706938138.64
0,0.7,0,0,0,0,1706938138.76
0,0.7,0,0,0,0,1706938138.83
0,0.7,0,0,0,0,1706938138.95
0,0.7,0,0,0,0,1706938139.02
0,0.7,0,0,0,0,1706938139.16
0,0.7,0,0,0,0,1706938139.27
0,0.7,0,0,0,0,1706938139.36
0,0.7,0,0,0,0,1706938139.46
0,0.39,-40,33,-27,32,1706938139.57
0,0,-34,38,-36,30,1706938139.66
0,0,-34,38,-36,30,1706938139.74
0,0,-26,32,-29,22,1706938139.94
0,0,-26,32,-29,22,1706938139.94
0,0,0,0,0,0,1706938140.11
0,0,0,0,0,0,1706938140.19
0,0,0,0,0,0,1706938140.34
0,0,0,0,0,0,1706938140.38
0,0,0,0,0,0,1706938140.51
0,0,0,0,0,0,1706938140.6
0,0,0,0,0,0,1706938140.76
0,0,0,0,0,0,1706938140.8
0,0,0,0,0,0,1706938140.94
0,0,0,0,0,0,1706938141
0,0,0,0,0,0,1706938141.11
0,0,0,0,0,0,1706938141.2
0,0,0,0,0,0,1706938141.31
0,0,0,0,0,0,1706938141.41
0,0,0,0,0,0,1706938141.52
0,0,0,0,0,0,1706938141.62
0,0,0,0,0,0,1706938141.77
0,0,0,0,0,0,1706938141.81
0,0,0,0,0,0,1706938141.96
0,0,0,0,0,0,1706938142.02
0,0,0,0,0,0,1706938142.13
0,0,0,0,0,0,1706938142.21
0,0,0,0,0,0,1706938142.39
0,0.57,0,0,0,0,1706938142.44
0,0.7,0,0,0,0,1706938142.55
0,0.7,0,0,0,0,1706938142.62
0,0.7,0,0,0,0,1706938142.75
0,0.7,0,0,0,0,1706938142.84
0,0,-26,39,-36,23,1706938142.95
0,0,-26,39,-36,23,1706938143.06
0,0,-26,39,-36,23,1706938143.19
0,0,0,4,-6,0,1706938143.34
0,0,0,4,-6,0,1706938143.41
0,0,0,4,-6,0,1706938143.51
0,0,0,4,-6,0,1706938143.57
0,0,0,4,-6,0,1706938143.74
0,0,0,4,-6,0,1706938143.77
0,0,0,4,-6,0,1706938143.91
0,0,0,4,-6,0,1706938144.03
0,0,0,4,-6,0,1706938144.12
0,0,0,0,0,0,1706938144.21
0,0,0,0,0,0,1706938144.37
0,0,0,0,0,0,1706938144.46
0,0,0,0,0,0,1706938144.49
0,0,0,0,0,0,1706938144.63
0,0,0,0,0,0,1706938144.73
0,0,0,0,0,0,1706938144.83
0,0,0,0,0,0,1706938144.98
0.41,0,0,0,0,0,1706938145.03
0.7,0,0,0,0,0,1706938145.19
0.7,0.35,0,0,0,0,1706938145.25
0.7,0.35,0,0,0,0,1706938145.34
0.7,0,0,0,0,0,1706938145.45
0.7,0,0,0,0,0,1706938145.51
0.68,0,38,56,39,49,1706938145.62
0.7,0,38,56,39,49,1706938145.72
0.7,0,78,70,78,70,1706938145.82
0.7,0,79,77,78,78,1706938145.95
0.7,0,79,77,78,78,1706938146.05
0.7,0,79,77,78,78,1706938146.12
0.7,0,87,86,85,85,1706938146.23
0.7,0,88,88,89,86,1706938146.35
0,0,89,89,89,89,1706938146.46
0,0.7,89,89,89,89,1706938146.58
0,0.7,84,83,83,82,1706938146.67
0,0.7,84,83,83,82,1706938146.77
0,0.7,48,62,48,60,1706938146.95
0,0.45,48,62,48,60,1706938146.97
0,0,48,62,48,60,1706938147.14
0.38,0,48,62,48,60,1706938147.19
0.7,0,-3,26,-24,4,1706938147.34
0.7,0,-3,26,-24,4,1706938147.4
0.7,0.28,22,27,20,3,1706938147.48
0.7,0.35,32,35,32,28,1706938147.61
0.7,0.35,48,50,47,49,1706938147.71
0.7,0.35,48,50,47,49,1706938147.81
0.7,0.35,58,76,54,75,1706938147.94
0.7,0.35,60,95,55,77,1706938148.01
0.7,0,60,95,55,77,1706938148.13
0.7,0,60,95,55,77,1706938148.2
0.7,0,60,95,55,77,1706938148.32
0.7,0,60,95,55,77,1706938148.42
0.7,0,60,95,55,77,1706938148.52
0,0,60,95,55,77,1706938148.59
0,0,60,95,55,77,1706938148.78
0,0,60,95,55,77,1706938148.83
0,0,60,95,55,77,1706938149.01
0,0,60,95,55,77,1706938149.04
0.57,0,60,95,55,77,1706938149.2
0.7,0,60,95,55,77,1706938149.2
0.7,0,60,95,55,77,1706938149.34
0.7,0,60,95,55,77,1706938149.4
0.7,0,60,95,55,77,1706938149.58
0.7,0,60,95,55,77,1706938149.62
0.7,0,67,66,66,66,1706938149.76
0.7,0,67,66,66,66,1706938149.82
0.7,0,75,73,74,73,1706938149.92
0.7,0,79,79,78,78,1706938150.02
0.7,0,86,86,87,87,1706938150.16
0.7,0,86,86,87,87,1706938150.26
0.7,-0.02,86,86,87,87,1706938150.34
0.7,-0.28,88,87,87,88,1706938150.44
0.7,-0.35,92,91,92,90,1706938150.57
0.7,-0.35,92,91,92,90,1706938150.74
0.7,-0.35,92,91,92,90,1706938150.76
0.7,-0.21,100,82,100,82,1706938150.9
0.7,0,107,69,104,72,1706938150.99
0.7,0,107,69,104,72,1706938151.09
0.7,0,102,85,104,85,1706938151.19
0.7,0,102,85,104,85,1706938151.34
0.7,0,102,85,104,85,1706938151.39
0.7,0,102,85,104,85,1706938151.52
0.7,0,102,85,104,85,1706938151.62
0.7,0,102,85,104,85,1706938151.67
0.7,0,102,85,104,85,1706938151.81
0.7,-0.03,102,85,104,85,1706938151.95
0.7,-0.35,94,94,94,93,1706938151.99
0.7,-0.35,94,94,94,93,1706938152.18
0.7,-0.12,94,94,94,93,1706938152.24
0.7,0,102,83,100,83,1706938152.31
0.7,0,102,83,100,83,1706938152.41
0.7,0,102,83,100,83,1706938152.6
0.7,0,102,83,100,83,1706938152.62
0.7,0,102,101,101,101,1706938152.76
0.7,0,98,99,99,97,1706938152.82
0.7,0,96,95,95,95,1706938152.96
0.7,0,96,95,95,95,1706938153.06
0.7,0,96,95,95,95,1706938153.15
0.7,0,94,94,93,94,1706938153.28
0.7,0,94,94,93,94,1706938153.37
0.7,0,95,95,94,95,1706938153.48
0.7,0,95,95,94,95,1706938153.59
0.7,0,95,95,94,95,1706938153.71
0.7,0,95,95,94,95,1706938153.74
0.7,0,95,95,95,95,1706938153.95
0.7,0,95,95,95,95,1706938153.96
0.7,0,95,95,95,95,1706938154.12
0.7,0,95,95,95,95,1706938154.16
0.7,0,95,95,95,95,1706938154.34
0.7,0,95,95,95,95,1706938154.41
0.7,0,93,92,92,91,1706938154.52
0.7,0,93,92,92,91,1706938154.63
0.7,0,93,92,92,91,1706938154.74
0.7,0.05,93,92,92,91,1706938154.84
0.7,0.35,93,92,92,91,1706938155
0.7,0.35,95,94,95,95,1706938155.05
0.7,0,95,94,95,95,1706938155.12
0.7,0,95,94,95,95,1706938155.25
0.7,0,95,94,95,95,1706938155.31
0.7,0,104,102,103,103,1706938155.46
0.7,0,104,102,103,103,1706938155.56
0.7,0,101,100,100,101,1706938155.67
0.7,0,98,98,98,98,1706938155.77
0.7,0,98,98,98,98,1706938155.83
0.7,0,98,98,98,98,1706938155.97
0.7,0,95,95,95,94,1706938156.07
0.7,0,95,95,95,94,1706938156.16
0.7,0,95,95,95,94,1706938156.35
0.7,0,95,95,95,94,1706938156.38
0.7,0.31,95,95,95,94,1706938156.47
0.7,0.35,95,95,95,94,1706938156.58
0.7,0.35,95,95,95,94,1706938156.73
0.7,0,95,95,95,94,1706938156.74
0.7,0,84,104,80,103,1706938156.94
0.7,0,84,104,80,103,1706938156.98
0.7,0,113,112,113,110,1706938157.06
0.7,0,113,112,113,110,1706938157.18
0.7,0,113,112,113,110,1706938157.35
0.7,0,113,112,113,110,1706938157.38
0.7,0,96,96,95,96,1706938157.48
0.7,0,96,96,95,96,1706938157.55
0.7,0,96,96,97,96,1706938157.75
0.7,0,96,96,97,96,1706938157.79
0.7,0,96,95,94,94,1706938157.89
0.7,0,96,95,94,94,1706938157.99
0.7,0,95,95,95,95,1706938158.11
0.7,0,95,95,95,95,1706938158.19
0.7,0,95,95,95,95,1706938158.35
0.7,0,96,95,96,95,1706938158.4
0.7,0,96,95,96,95,1706938158.5
0.7,0.2,96,95,96,95,1706938158.61
0.7,0.35,96,95,96,95,1706938158.69
0.7,0.35,93,96,93,95,1706938158.8
0.7,0.35,93,96,93,95,1706938158.87
0.7,0.35,93,96,93,95,1706938159.01
0.7,0.35,75,106,75,104,1706938159.14
0.7,0.35,75,106,75,104,1706938159.21
0.7,0.35,75,106,75,104,1706938159.36
0.38,0.47,75,106,75,104,1706938159.41
0,0,72,109,67,110,1706938159.51
0,0,69,107,66,108,1706938159.64
0,0,87,83,86,83,1706938159.73
0,0,87,83,86,83,1706938159.81
0,0,87,83,86,83,1706938159.93
0,0,87,83,86,83,1706938160.02
0,0,87,83,86,83,1706938160.11
0,0,18,19,18,18,1706938160.19
0,0,12,11,11,12,1706938160.34
0,0,12,11,11,12,1706938160.41
0,0,12,11,11,12,1706938160.48
0,0,12,11,11,12,1706938160.65
0,0,12,11,11,12,1706938160.72
0.07,0,12,11,11,12,1706938160.82
0.22,0,12,11,11,12,1706938160.92
0.24,0,12,11,11,12,1706938161.02
0.34,0,12,11,11,12,1706938161.18
0.7,0,12,11,11,12,1706938161.19
0.7,0,15,16,15,16,1706938161.37
0.7,0,15,16,15,16,1706938161.39
0.7,0,15,16,15,16,1706938161.51
0.7,0,15,16,15,16,1706938161.59
0.7,0,56,56,56,56,1706938161.79
0.7,0,56,56,56,56,1706938161.83
0.7,0,56,56,56,56,1706938161.94
0.7,0,56,56,56,56,1706938162.04
0.7,0,85,84,84,84,1706938162.19
0.7,-0.03,85,84,84,84,1706938162.24
0.7,-0.35,89,88,87,87,1706938162.39
0.7,-0.35,89,88,87,87,1706938162.44
0.7,-0.35,93,92,93,92,1706938162.56
0.3,-0.6,93,92,93,92,1706938162.65
0,-0.7,103,80,103,80,1706938162.75
0,0,103,56,101,52,1706938162.85
0,0,103,56,101,52,1706938162.94
0,0,103,56,101,52,1706938163.05
0,0,44,-32,64,-50,1706938163.11
0,0,25,-27,12,-15,1706938163.25
0,0,25,-27,12,-15,1706938163.35
0,0,25,-27,12,-15,1706938163.46
0,0,1,0,3,-1,1706938163.56
0,0,1,0,3,-1,1706938163.66
